iter	Passed	Remaining
0	0	45
1	0	40
2	1	39
3	1	35
4	1	35
5	2	35
6	2	34
7	3	35
8	3	35
9	3	34
10	4	34
11	4	33
12	5	33
13	5	33
14	5	33
15	6	32
16	6	32
17	6	31
18	7	31
19	7	30
20	8	30
21	8	29
22	8	29
23	9	28
24	9	28
25	9	27
26	10	27
27	10	27
28	10	26
29	11	26
30	11	26
31	12	26
32	12	25
33	13	25
34	13	25
35	13	24
36	14	24
37	14	24
38	15	23
39	15	23
40	15	22
41	16	22
42	16	21
43	16	21
44	17	21
45	17	20
46	18	20
47	18	20
48	18	19
49	19	19
50	19	18
51	20	18
52	20	18
53	20	17
54	21	17
55	21	17
56	22	16
57	22	16
58	22	15
59	23	15
60	23	15
61	24	14
62	24	14
63	24	14
64	25	13
65	25	13
66	26	12
67	26	12
68	27	12
69	27	11
70	27	11
71	28	10
72	28	10
73	28	10
74	29	9
75	29	9
76	30	9
77	30	8
78	31	8
79	31	7
80	31	7
81	32	7
82	32	6
83	32	6
84	33	5
85	33	5
86	34	5
87	34	4
88	34	4
89	35	3
90	35	3
91	36	3
92	36	2
93	36	2
94	37	1
95	37	1
96	38	1
97	38	0
98	39	0
99	39	0
