iter	Passed	Remaining
0	60	60350
1	61	30471
2	61	20459
3	62	15486
4	62	12482
5	63	10471
6	63	9040
7	64	7965
8	64	7129
9	65	6466
10	65	5917
11	66	5459
12	66	5075
13	67	4751
14	68	4471
15	68	4226
16	69	4003
17	69	3808
18	70	3634
19	71	3482
20	71	3334
21	72	3201
22	72	3077
23	72	2967
24	73	2868
25	74	2772
26	74	2683
27	74	2601
28	75	2524
29	75	2453
30	76	2384
31	76	2324
32	77	2263
33	77	2206
34	78	2156
35	78	2105
36	79	2058
37	79	2013
38	80	1971
39	80	1931
40	81	1895
41	81	1860
42	82	1826
43	82	1793
44	83	1761
45	83	1732
46	84	1704
47	84	1679
48	85	1658
49	85	1633
50	86	1612
51	87	1590
52	87	1569
53	88	1549
54	88	1527
55	89	1508
56	89	1488
57	90	1470
58	91	1451
59	91	1433
60	91	1415
61	92	1399
62	92	1383
63	93	1366
64	93	1351
65	94	1336
66	94	1322
67	95	1309
68	96	1295
69	96	1283
70	97	1271
71	97	1258
72	98	1246
73	98	1234
74	99	1221
75	99	1209
76	100	1198
77	100	1187
78	100	1176
79	101	1165
80	101	1155
81	102	1146
82	102	1133
83	103	1125
84	103	1115
85	104	1106
86	104	1098
87	105	1089
88	105	1080
89	106	1073
90	106	1064
91	107	1056
92	107	1048
93	107	1040
94	108	1032
95	108	1024
96	109	1017
97	109	1010
98	110	1004
99	110	997
100	111	990
101	111	983
102	112	976
103	112	970
104	113	964
105	113	958
106	114	952
107	114	947
108	115	941
109	115	935
110	116	930
111	116	925
112	117	919
113	117	914
114	118	908
115	118	903
116	118	897
117	119	892
118	119	887
119	120	883
120	120	878
121	121	872
122	121	867
123	122	863
124	122	858
125	123	854
126	123	849
127	124	844
128	124	840
129	125	837
130	125	833
131	126	831
132	127	828
133	127	825
134	128	821
135	128	817
136	129	813
137	129	809
138	130	806
139	130	802
140	131	798
141	131	794
142	131	790
143	132	787
144	132	783
145	133	779
146	133	776
147	134	773
148	134	769
149	135	766
150	135	763
151	136	760
152	136	757
153	137	754
154	137	751
155	138	747
156	138	744
157	139	741
158	139	738
159	140	736
160	140	732
161	141	730
162	141	728
163	142	725
164	142	722
165	143	719
166	143	716
167	144	714
168	144	711
169	145	708
170	145	706
171	146	704
172	146	701
173	147	701
174	148	698
175	148	696
176	149	694
177	149	691
178	150	689
179	150	687
180	151	684
181	151	682
182	152	680
183	152	677
184	153	675
185	153	672
186	154	670
187	154	667
188	155	665
189	155	663
190	156	661
191	156	659
192	157	657
193	157	655
194	158	652
195	158	650
196	159	648
197	159	646
198	160	644
199	160	642
200	161	641
201	161	639
202	162	637
203	162	635
204	163	633
205	163	630
206	164	628
207	164	626
208	165	624
209	165	622
210	165	620
211	166	619
212	166	616
213	167	614
214	167	612
215	168	611
216	168	609
217	169	607
218	169	605
219	170	603
220	170	602
221	171	600
222	171	598
223	172	596
224	172	594
225	173	593
226	173	591
227	174	589
228	174	587
229	175	586
230	175	584
231	176	582
232	176	581
233	177	579
234	177	577
235	178	576
236	178	574
237	178	573
238	180	573
239	180	572
240	181	570
241	181	568
242	182	567
243	182	565
244	182	563
245	183	561
246	183	560
247	184	558
248	184	556
249	185	555
250	185	553
251	186	553
252	186	552
253	187	550
254	187	548
255	188	546
256	188	545
257	188	543
258	189	541
259	189	540
260	190	538
261	190	537
262	191	535
263	191	534
264	192	532
265	192	531
266	193	529
267	193	528
268	193	526
269	194	525
270	194	523
271	195	522
272	195	520
273	196	519
274	196	517
275	196	516
276	197	514
277	197	513
278	198	512
279	198	510
280	198	509
281	199	507
282	199	506
283	200	504
284	200	503
285	201	502
286	201	500
287	201	499
288	202	497
289	202	496
290	203	495
291	203	493
292	204	492
293	204	491
294	205	489
295	205	488
296	205	487
297	206	486
298	206	484
299	207	483
300	207	482
301	208	481
302	208	479
303	208	478
304	209	477
305	209	475
306	210	474
307	210	473
308	210	471
309	211	470
310	211	469
311	212	467
312	212	466
313	213	465
314	213	464
315	213	462
316	214	461
317	214	460
318	215	459
319	215	458
320	216	456
321	216	455
322	216	454
323	217	453
324	217	452
325	218	451
326	218	450
327	219	449
328	219	448
329	220	447
330	220	445
331	220	444
332	221	443
333	221	442
334	222	441
335	222	439
336	223	438
337	223	437
338	223	436
339	224	435
340	224	434
341	225	433
342	225	432
343	226	431
344	226	430
345	227	429
346	227	428
347	228	427
348	228	426
349	229	425
350	229	424
351	230	423
352	230	422
353	230	421
354	231	420
355	231	419
356	232	418
357	232	417
358	233	416
359	233	415
360	234	414
361	234	413
362	235	412
363	235	412
364	236	411
365	236	410
366	237	409
367	237	408
368	238	407
369	238	406
370	239	405
371	239	404
372	239	403
373	240	402
374	240	401
375	241	400
376	241	399
377	242	398
378	242	397
379	243	396
380	243	395
381	244	394
382	244	393
383	245	393
384	245	392
385	246	391
386	246	390
387	247	390
388	247	389
389	248	388
390	248	387
391	249	386
392	249	385
393	250	384
394	250	383
395	251	382
396	251	382
397	251	381
398	252	380
399	252	379
400	253	378
401	253	377
402	254	376
403	254	375
404	255	374
405	255	374
406	256	373
407	256	372
408	257	371
409	257	370
410	258	369
411	258	369
412	259	368
413	259	367
414	259	366
415	260	365
416	260	364
417	261	363
418	261	362
419	262	361
420	262	360
421	262	360
422	263	359
423	263	358
424	264	357
425	264	356
426	265	356
427	265	355
428	266	354
429	266	353
430	267	352
431	267	351
432	267	350
433	268	350
434	268	349
435	269	348
436	269	347
437	270	346
438	270	345
439	271	345
440	271	344
441	272	343
442	272	342
443	273	341
444	273	341
445	273	340
446	274	339
447	275	338
448	275	338
449	275	337
450	276	336
451	276	335
452	277	334
453	277	334
454	278	333
455	278	332
456	279	331
457	279	330
458	279	329
459	280	329
460	280	328
461	281	327
462	281	326
463	282	325
464	282	325
465	283	324
466	283	323
467	284	323
468	284	322
469	285	321
470	285	320
471	286	320
472	286	319
473	286	318
474	287	317
475	287	316
476	288	316
477	288	315
478	289	314
479	289	314
480	290	313
481	290	312
482	291	311
483	291	311
484	292	310
485	292	309
486	293	308
487	293	308
488	294	307
489	294	306
490	295	306
491	295	305
492	296	304
493	296	304
494	297	303
495	297	302
496	298	301
497	298	301
498	299	300
499	299	299
500	300	298
501	300	298
502	301	297
503	302	297
504	302	296
505	303	296
506	303	295
507	304	294
508	304	293
509	305	293
510	305	292
511	306	292
512	307	291
513	308	291
514	308	290
515	309	289
516	313	292
517	314	292
518	322	298
519	325	300
520	326	300
521	327	299
522	327	298
523	328	298
524	329	297
525	329	297
526	330	296
527	330	295
528	331	294
529	331	294
530	332	293
531	333	292
532	333	292
533	334	291
534	334	290
535	334	289
536	335	289
537	336	288
538	336	287
539	337	287
540	337	286
541	338	285
542	338	285
543	339	284
544	339	283
545	340	282
546	340	282
547	341	281
548	341	280
549	342	279
550	342	279
551	343	278
552	343	277
553	344	277
554	344	276
555	345	275
556	345	275
557	346	274
558	346	273
559	347	273
560	348	272
561	348	271
562	350	272
563	351	271
564	351	270
565	352	270
566	352	269
567	353	268
568	353	268
569	354	267
570	354	266
571	355	265
572	355	265
573	356	264
574	356	263
575	357	262
576	357	262
577	357	261
578	358	260
579	358	259
580	359	259
581	359	258
582	360	257
583	360	257
584	361	256
585	361	255
586	362	255
587	363	254
588	363	253
589	364	253
590	364	252
591	365	251
592	365	250
593	366	250
594	366	249
595	367	248
596	367	248
597	368	247
598	368	246
599	369	246
600	370	245
601	370	244
602	371	244
603	371	243
604	371	242
605	372	242
606	372	241
607	373	240
608	373	240
609	374	239
610	374	238
611	375	237
612	375	237
613	376	236
614	376	235
615	377	235
616	377	234
617	378	233
618	378	233
619	379	232
620	379	231
621	380	230
622	380	230
623	380	229
624	381	228
625	382	228
626	382	227
627	383	226
628	383	226
629	383	225
630	384	224
631	384	224
632	385	223
633	385	222
634	386	222
635	386	221
636	387	220
637	387	220
638	388	219
639	388	218
640	389	217
641	389	217
642	390	216
643	390	215
644	391	215
645	391	214
646	392	213
647	392	213
648	392	212
649	393	211
650	393	211
651	394	210
652	394	209
653	395	209
654	395	208
655	396	207
656	396	207
657	397	206
658	397	205
659	398	205
660	398	204
661	399	203
662	399	203
663	400	202
664	400	201
665	401	201
666	401	200
667	402	199
668	402	199
669	403	198
670	403	197
671	404	197
672	404	196
673	405	195
674	405	195
675	406	194
676	406	193
677	407	193
678	407	192
679	408	192
680	408	191
681	408	190
682	409	190
683	409	189
684	410	188
685	410	188
686	411	187
687	411	186
688	412	186
689	412	185
690	413	184
691	413	184
692	414	183
693	414	182
694	414	182
695	416	181
696	416	181
697	417	180
698	417	179
699	418	179
700	418	178
701	418	177
702	419	177
703	419	176
704	421	176
705	421	175
706	421	174
707	422	174
708	422	173
709	423	172
710	423	172
711	424	171
712	424	171
713	425	170
714	425	169
715	426	169
716	426	168
717	427	167
718	427	167
719	428	166
720	428	165
721	429	165
722	429	164
723	430	164
724	430	163
725	431	162
726	431	162
727	432	161
728	432	160
729	432	160
730	433	159
731	433	158
732	434	158
733	434	157
734	435	156
735	435	156
736	436	155
737	436	155
738	437	154
739	437	153
740	438	153
741	438	152
742	438	151
743	439	151
744	439	150
745	440	149
746	440	149
747	441	148
748	441	148
749	442	147
750	442	146
751	443	146
752	443	145
753	444	144
754	444	144
755	445	143
756	445	143
757	445	142
758	446	141
759	446	141
760	447	140
761	447	139
762	448	139
763	448	138
764	449	137
765	449	137
766	449	136
767	450	136
768	450	135
769	451	134
770	451	134
771	452	133
772	452	132
773	453	132
774	453	131
775	454	131
776	454	130
777	455	129
778	455	129
779	456	128
780	456	128
781	457	127
782	457	126
783	458	126
784	458	125
785	459	124
786	459	124
787	460	123
788	460	123
789	461	122
790	461	121
791	462	121
792	462	120
793	463	120
794	463	119
795	464	118
796	464	118
797	464	117
798	465	117
799	466	116
800	466	115
801	467	115
802	467	114
803	467	114
804	468	113
805	468	112
806	469	112
807	469	111
808	470	111
809	470	110
810	471	109
811	471	109
812	472	108
813	472	107
814	472	107
815	473	106
816	473	106
817	474	105
818	474	104
819	475	104
820	475	103
821	476	103
822	476	102
823	477	101
824	477	101
825	478	100
826	478	100
827	479	99
828	479	98
829	480	98
830	480	97
831	481	97
832	481	96
833	482	95
834	482	95
835	483	94
836	483	94
837	484	93
838	484	92
839	484	92
840	485	91
841	485	91
842	486	90
843	486	89
844	487	89
845	487	88
846	488	88
847	488	87
848	489	86
849	489	86
850	490	85
851	490	85
852	491	84
853	491	84
854	491	83
855	492	82
856	492	82
857	493	81
858	493	81
859	494	80
860	495	79
861	495	79
862	496	78
863	496	78
864	497	77
865	497	77
866	498	76
867	498	75
868	499	75
869	499	74
870	500	74
871	500	73
872	501	72
873	501	72
874	502	71
875	502	71
876	503	70
877	503	69
878	504	69
879	504	68
880	505	68
881	505	67
882	506	67
883	506	66
884	507	65
885	507	65
886	508	64
887	508	64
888	508	63
889	509	62
890	509	62
891	510	61
892	510	61
893	511	60
894	511	60
895	512	59
896	512	58
897	513	58
898	513	57
899	514	57
900	514	56
901	515	55
902	515	55
903	516	54
904	516	54
905	516	53
906	517	53
907	517	52
908	518	51
909	518	51
910	519	50
911	519	50
912	520	49
913	520	48
914	521	48
915	521	47
916	522	47
917	522	46
918	523	46
919	523	45
920	524	44
921	524	44
922	525	43
923	525	43
924	525	42
925	526	42
926	526	41
927	527	40
928	527	40
929	528	39
930	528	39
931	529	38
932	529	38
933	530	37
934	530	36
935	531	36
936	531	35
937	532	35
938	532	34
939	533	34
940	533	33
941	533	32
942	534	32
943	534	31
944	535	31
945	535	30
946	536	30
947	536	29
948	537	28
949	537	28
950	538	27
951	538	27
952	539	26
953	539	26
954	540	25
955	540	24
956	541	24
957	541	23
958	542	23
959	543	22
960	543	22
961	544	21
962	544	20
963	545	20
964	545	19
965	546	19
966	546	18
967	547	18
968	547	17
969	548	16
970	548	16
971	549	15
972	549	15
973	550	14
974	550	14
975	551	13
976	551	12
977	552	12
978	552	11
979	553	11
980	553	10
981	554	10
982	554	9
983	555	9
984	555	8
985	556	7
986	556	7
987	557	6
988	557	6
989	558	5
990	558	5
991	559	4
992	559	3
993	560	3
994	560	2
995	561	2
996	561	1
997	562	1
998	562	0
999	563	0
